ts,service,run_idx,phase,latency_ms,ok,meta_json
1782939466800,untrusted-client-0,1,id_honest_baseline,1.666,True,"{""voter_id"": 260796}"
1782939466833,untrusted-client-0,2,checkin_honest_baseline,1.842,True,"{""voter_id"": 260796}"
1782939468027,untrusted-client-0,1,id_honest_baseline,1.522,True,"{""voter_id"": 118404}"
1782939468059,untrusted-client-0,2,checkin_honest_baseline,2.155,True,"{""voter_id"": 118404}"
1782939469253,untrusted-client-0,1,id_honest_baseline,1.312,True,"{""voter_id"": 277884}"
1782939469284,untrusted-client-0,2,checkin_honest_baseline,1.576,True,"{""voter_id"": 277884}"
1782939470482,untrusted-client-0,1,id_honest_baseline,1.316,True,"{""voter_id"": 327770}"
1782939470513,untrusted-client-0,2,checkin_honest_baseline,1.915,True,"{""voter_id"": 327770}"
1782939471712,untrusted-client-0,1,id_honest_baseline,1.779,True,"{""voter_id"": 182036}"
1782939471742,untrusted-client-0,2,checkin_honest_baseline,1.330,True,"{""voter_id"": 182036}"
1782939472942,untrusted-client-0,1,id_honest_baseline,1.368,True,"{""voter_id"": 150626}"
1782939472973,untrusted-client-0,2,checkin_honest_baseline,1.287,True,"{""voter_id"": 150626}"
1782939474166,untrusted-client-0,1,id_honest_baseline,1.601,True,"{""voter_id"": 345738}"
1782939474197,untrusted-client-0,2,checkin_honest_baseline,1.649,True,"{""voter_id"": 345738}"
1782939475390,untrusted-client-0,1,id_honest_baseline,1.341,True,"{""voter_id"": 244314}"
1782939475421,untrusted-client-0,2,checkin_honest_baseline,1.483,True,"{""voter_id"": 244314}"
1782939476620,untrusted-client-0,1,id_honest_baseline,1.499,True,"{""voter_id"": 332076}"
1782939476652,untrusted-client-0,2,checkin_honest_baseline,1.413,True,"{""voter_id"": 332076}"
1782939477853,untrusted-client-0,1,id_honest_baseline,1.644,True,"{""voter_id"": 137866}"
1782939477885,untrusted-client-0,2,checkin_honest_baseline,1.414,True,"{""voter_id"": 137866}"
1782939479091,untrusted-client-0,1,id_honest_baseline,1.452,True,"{""voter_id"": 242389}"
1782939479123,untrusted-client-0,2,checkin_honest_baseline,1.275,True,"{""voter_id"": 242389}"
1782939480326,untrusted-client-0,1,id_honest_baseline,1.160,True,"{""voter_id"": 343790}"
1782939480357,untrusted-client-0,2,checkin_honest_baseline,1.423,True,"{""voter_id"": 343790}"
1782939481568,untrusted-client-0,1,id_honest_baseline,1.264,True,"{""voter_id"": 169469}"
1782939481599,untrusted-client-0,2,checkin_honest_baseline,1.229,True,"{""voter_id"": 169469}"
1782939482807,untrusted-client-0,1,id_honest_baseline,1.270,True,"{""voter_id"": 238425}"
1782939482838,untrusted-client-0,2,checkin_honest_baseline,2.186,True,"{""voter_id"": 238425}"
1782939484044,untrusted-client-0,1,id_honest_baseline,1.390,True,"{""voter_id"": 289925}"
1782939484075,untrusted-client-0,2,checkin_honest_baseline,1.383,True,"{""voter_id"": 289925}"
1782939485279,untrusted-client-0,1,id_honest_baseline,1.443,True,"{""voter_id"": 333161}"
1782939485311,untrusted-client-0,2,checkin_honest_baseline,1.535,True,"{""voter_id"": 333161}"
1782939486516,untrusted-client-0,1,id_honest_baseline,1.518,True,"{""voter_id"": 338107}"
1782939486548,untrusted-client-0,2,checkin_honest_baseline,1.459,True,"{""voter_id"": 338107}"
1782939487756,untrusted-client-0,1,id_honest_baseline,1.443,True,"{""voter_id"": 137432}"
1782939487786,untrusted-client-0,2,checkin_honest_baseline,1.164,True,"{""voter_id"": 137432}"
1782939488999,untrusted-client-0,1,id_honest_baseline,1.374,True,"{""voter_id"": 103051}"
1782939489031,untrusted-client-0,2,checkin_honest_baseline,1.410,True,"{""voter_id"": 103051}"
1782939490244,untrusted-client-0,1,id_honest_baseline,1.193,True,"{""voter_id"": 195476}"
1782939490278,untrusted-client-0,2,checkin_honest_baseline,1.335,True,"{""voter_id"": 195476}"
1782939491511,untrusted-client-0,1,id_honest_baseline,1.437,True,"{""voter_id"": 336276}"
1782939491543,untrusted-client-0,2,checkin_honest_baseline,1.211,True,"{""voter_id"": 336276}"
1782939492758,untrusted-client-0,1,id_honest_baseline,1.278,True,"{""voter_id"": 272661}"
1782939492791,untrusted-client-0,2,checkin_honest_baseline,1.186,True,"{""voter_id"": 272661}"
1782939494006,untrusted-client-0,1,id_honest_baseline,1.408,True,"{""voter_id"": 227234}"
1782939494040,untrusted-client-0,2,checkin_honest_baseline,3.222,True,"{""voter_id"": 227234}"
1782939495245,untrusted-client-0,1,id_honest_baseline,1.495,True,"{""voter_id"": 211408}"
1782939495292,untrusted-client-0,2,checkin_honest_baseline,15.403,True,"{""voter_id"": 211408}"
1782939496500,untrusted-client-0,1,id_honest_baseline,1.991,True,"{""voter_id"": 134702}"
1782939496535,untrusted-client-0,2,checkin_honest_baseline,1.497,True,"{""voter_id"": 134702}"
1782939497742,untrusted-client-0,1,id_honest_baseline,1.161,True,"{""voter_id"": 258813}"
1782939497773,untrusted-client-0,2,checkin_honest_baseline,1.094,True,"{""voter_id"": 258813}"
1782939498981,untrusted-client-0,1,id_honest_baseline,1.246,True,"{""voter_id"": 301804}"
1782939499015,untrusted-client-0,2,checkin_honest_baseline,1.043,True,"{""voter_id"": 301804}"
1782939500220,untrusted-client-0,1,id_honest_baseline,1.094,True,"{""voter_id"": 186196}"
1782939500252,untrusted-client-0,2,checkin_honest_baseline,2.176,True,"{""voter_id"": 186196}"
1782939501480,untrusted-client-0,1,id_honest_baseline,2.648,True,"{""voter_id"": 124027}"
1782939501513,untrusted-client-0,2,checkin_honest_baseline,1.841,True,"{""voter_id"": 124027}"
1782939502737,untrusted-client-0,1,id_honest_baseline,1.306,True,"{""voter_id"": 198741}"
1782939502770,untrusted-client-0,2,checkin_honest_baseline,1.157,True,"{""voter_id"": 198741}"
1782939503982,untrusted-client-0,1,id_honest_baseline,1.476,True,"{""voter_id"": 329223}"
